Ticker,Versus,Frank Kendall rank correlation,Frank spearmen correlation,Frank pearsons correlation,Frank theta of copula,Clayton Kendall rank correlation,Clayton spearmen correlation,Clayton pearsons correlation,Clayton theta of copula,Gumbel Kendall rank correlation,Gumbel spearmen correlation,Gumbel pearsons correlation,Gumbel theta of copula
AAPL,MSFT,0.5307091633466134,0.7032547903623602,0.700001113390138,6.32421875,0.5307091633466134,0.7032547903623602,0.700001113390138,2.2617495245857095,0.5307091633466134,0.7032547903623602,0.700001113390138,2.1308747622928546
AAPL,TSLA,0.3361593625498008,0.4682117245304496,0.4801171343453765,3.33978271484375,0.3361593625498008,0.4682117245304496,0.4801171343453765,1.0127712694449778,0.3361593625498008,0.4682117245304496,0.4801171343453765,1.5063856347224889
AAPL,AMZN,0.5076334661354581,0.6872434073230885,0.694388314249146,5.87677001953125,0.5076334661354581,0.6872434073230885,0.694388314249146,2.062014500258933,0.5076334661354581,0.6872434073230885,0.694388314249146,2.0310072501294663
MSFT,AAPL,0.5307091633466134,0.7032547903623602,0.700001113390138,6.32421875,0.5307091633466134,0.7032547903623602,0.700001113390138,2.2617495245857095,0.5307091633466134,0.7032547903623602,0.700001113390138,2.1308747622928546
MSFT,TSLA,0.3204780876494024,0.44498045911591727,0.4908573198910335,3.1533203125,0.3204780876494024,0.44498045911591727,0.4908573198910335,0.9432457786116324,0.3204780876494024,0.44498045911591727,0.4908573198910335,1.4716228893058163
MSFT,AMZN,0.5537848605577689,0.7283217605767406,0.7415924606619276,6.81048583984375,0.5537848605577689,0.7283217605767406,0.7415924606619276,2.4821428571428568,0.5537848605577689,0.7283217605767406,0.7415924606619276,2.2410714285714284
TSLA,AAPL,0.3361593625498008,0.4682117245304496,0.4801171343453765,3.33978271484375,0.3361593625498008,0.4682117245304496,0.4801171343453765,1.0127712694449778,0.3361593625498008,0.4682117245304496,0.4801171343453765,1.5063856347224889
TSLA,MSFT,0.3204780876494024,0.44498045911591727,0.4908573198910335,3.1533203125,0.3204780876494024,0.44498045911591727,0.4908573198910335,0.9432457786116324,0.3204780876494024,0.44498045911591727,0.4908573198910335,1.4716228893058163
TSLA,AMZN,0.3120637450199203,0.446571808006071,0.48073872529034656,3.055419921875,0.3120637450199203,0.446571808006071,0.48073872529034656,0.9072461082283172,0.3120637450199203,0.446571808006071,0.48073872529034656,1.4536230541141586
AMZN,AAPL,0.5076334661354581,0.6872434073230885,0.694388314249146,5.87677001953125,0.5076334661354581,0.6872434073230885,0.694388314249146,2.062014500258933,0.5076334661354581,0.6872434073230885,0.694388314249146,2.0310072501294663
AMZN,MSFT,0.5537848605577689,0.7283217605767406,0.7415924606619276,6.81048583984375,0.5537848605577689,0.7283217605767406,0.7415924606619276,2.4821428571428568,0.5537848605577689,0.7283217605767406,0.7415924606619276,2.2410714285714284
AMZN,TSLA,0.3120637450199203,0.446571808006071,0.48073872529034656,3.055419921875,0.3120637450199203,0.446571808006071,0.48073872529034656,0.9072461082283172,0.3120637450199203,0.446571808006071,0.48073872529034656,1.4536230541141586
